family1	5	51	4484	100	0.134478	191.126724
family2	5	53	7006	100	0.113902	368.510010
family3	5	51	6212	100	0.122988	225.552765
family4	5	54	8935	100	0.099496	344.203857
family5	5	51	8321	100	0.112006	324.340698
family6	5	55	7447	100	0.134014	312.804657
family7	5	50	8059	100	0.118749	265.060455
family8	5	55	6977	100	0.116239	296.282349
family9	5	50	10217	100	0.118724	338.592712
family10	5	52	7744	100	0.137268	345.149963
family11	5	54	12580	100	0.100636	463.093262
family12	5	52	7644	100	0.104134	330.786285
family13	5	58	9520	100	0.100735	525.335510
family14	5	56	5689	100	0.134997	227.853943
family15	5	50	5426	100	0.127718	221.567245
family16	5	51	6717	100	0.116570	294.241791
family17	5	51	6728	100	0.124257	259.040405
family18	5	50	7142	100	0.109073	300.535126
family19	5	52	7184	100	0.127506	281.437103
family20	5	55	3553	100	0.103574	154.531570
family21	5	53	6480	100	0.121451	318.860046
family22	5	50	5564	100	0.128145	204.989822
family23	5	51	5547	100	0.124392	267.154297
family24	5	51	6803	100	0.109217	310.431366
family25	5	50	5364	100	0.129008	216.406479
family26	5	56	8319	100	0.116841	427.655884
family27	5	50	4584	100	0.140489	192.777786
family28	5	50	8715	100	0.114859	298.078064
family29	5	52	8417	100	0.109184	338.986664
family30	5	53	5562	100	0.128910	268.167175
family31	5	54	11662	100	0.101355	539.772644
family32	5	50	5179	100	0.140761	196.950638
family33	5	53	3393	100	0.159151	138.081253
family34	5	50	6597	100	0.142034	272.852783
family35	5	50	10721	100	0.095234	373.093079
family36	5	50	6963	100	0.123223	256.853516
family37	5	53	7253	100	0.121329	327.203339
family38	5	53	12886	100	0.094832	455.988068
family39	5	51	7178	100	0.108526	289.252808
family40	5	52	4369	100	0.123598	193.829910
family41	5	50	6197	100	0.113281	260.005280
family42	5	59	6032	100	0.132626	300.100525
family43	5	60	8067	100	0.096690	516.674255
family44	5	52	8432	100	0.113971	346.376160
family45	5	50	10712	100	0.109223	421.352112
family46	5	50	7231	100	0.127783	267.483276
family47	5	55	10309	100	0.117082	459.837158
family48	5	54	3881	100	0.126514	240.261139
family49	5	56	7286	100	0.125858	436.652191
family50	5	50	6705	100	0.125578	281.502899
family51	5	54	5316	100	0.124342	361.806488
family52	5	53	845	100	0.172781	44.983475
family53	5	51	7058	100	0.122839	261.080719
family54	5	54	3691	100	0.149282	165.024963
family55	5	55	5269	100	0.125071	275.831665
family56	5	51	7353	100	0.109751	326.721893
family57	5	51	8103	100	0.115883	319.197632
family58	5	53	5793	100	0.135163	279.752289
family59	5	59	6886	100	0.124601	315.825378
family60	5	53	4636	100	0.139991	211.698685
family61	5	54	5202	100	0.113610	273.902588
family62	5	50	8405	100	0.113742	315.951416
family63	5	50	7053	100	0.113852	234.789276
family64	5	51	9840	100	0.119106	420.822266
family65	5	52	7099	100	0.115791	307.007660
family66	5	52	3793	100	0.142631	175.506226
family67	5	54	12248	100	0.096832	494.775848
family68	5	50	3934	100	0.132944	239.290955
family69	5	50	8520	100	0.121244	367.374634
family70	5	51	8012	100	0.122067	376.086945
family71	5	59	7707	100	0.111327	451.858704
family72	5	50	6647	100	0.107868	280.891327
family73	5	52	6024	100	0.110890	325.927246
family74	5	52	8444	100	0.102676	425.891144
family75	5	53	5022	100	0.131621	274.130035
family76	5	51	7854	100	0.115228	415.021820
family77	5	51	5328	100	0.142643	314.981506
family78	5	50	7904	100	0.101974	376.737518
family79	5	50	4489	100	0.123413	189.594147
family80	5	53	7762	100	0.126385	369.433685
family81	5	51	8079	100	0.119198	365.237183
family82	5	55	8318	100	0.114691	363.944641
family83	5	53	4304	100	0.145446	363.396698
family84	5	53	8590	100	0.110594	496.263214
family85	5	50	8678	100	0.099562	472.364136
family86	5	52	7058	100	0.124540	271.796600
family87	5	57	8767	100	0.105737	472.719604
family88	5	52	5139	100	0.131543	224.335205
family89	5	55	8735	100	0.110704	350.365021
family90	5	50	6971	100	0.120643	271.911530
family91	5	52	3289	100	0.145333	167.764099
family92	5	53	6362	100	0.128419	266.526886
family93	5	50	2214	100	0.141373	85.659935
family94	5	56	9274	100	0.114082	465.792358
family95	5	50	9102	100	0.115799	401.376862
family96	5	52	9040	100	0.109513	371.792084
family97	5	51	6824	100	0.134965	346.205139
family98	5	51	4736	100	0.132813	271.043365
family99	5	52	3879	100	0.099252	185.115021
family100	5	50	3911	100	0.115316	166.415741
