0.49	0.29
0.49	0.28
0.43	0.06
0.44	0.24
0.55	0.47
0.53	0.36
0.40	0.20
0.45	0.04
0.48	0.38
0.65	0.81
0.43	0.04
0.56	0.25
0.50	0.33
0.46	0.27
0.60	0.40
0.51	0.24
0.53	0.29
0.44	0.02
0.46	0.27
0.51	0.36
0.45	0.26
0.48	0.28
0.47	0.04
0.45	0.37
0.46	0.02
0.41	0.02
0.46	0.32
0.42	0.32
0.52	0.33
0.43	0.00
0.54	0.41
0.48	0.28
0.38	0.11
0.56	0.36
0.38	0.00
0.50	0.32
0.43	0.26
0.49	0.26
0.53	0.27
0.46	0.25
0.52	0.00
0.46	0.36
0.52	0.38
0.50	0.31
0.54	0.26
0.52	0.28
0.49	0.31
0.56	0.26
0.46	0.18
0.38	0.04
0.46	0.17
0.43	0.13
0.47	0.29
0.54	0.28
0.53	0.29
0.49	0.31
0.45	0.10
0.53	0.40
0.46	0.03
0.51	0.36
0.37	0.04
0.40	0.00
0.46	0.04
0.41	0.27
0.52	0.38
0.54	0.38
0.50	0.31
0.60	0.52
0.42	0.04
0.37	0.00
0.56	0.25
0.44	0.36
0.58	0.25
0.54	0.25
0.43	0.02
0.45	0.06
0.51	0.24
0.50	0.26
0.46	0.10
0.47	0.09
0.47	0.24
0.49	0.36
0.51	0.26
0.49	0.26
0.48	0.36
0.46	0.10
0.46	0.05
0.50	0.31
0.45	0.36
0.42	0.06
0.54	0.23
0.45	0.42
0.52	0.36
0.45	0.27
0.50	0.16
0.46	0.35
0.45	0.06
0.45	0.04
0.38	0.10
0.50	0.34
