Ancient	Recent	All
0.000	0.684	0.591
0.000	0.444	0.364
0.333	0.632	0.591
0.000	0.500	0.429
0.000	0.500	0.400
0.000	0.647	0.478
0.000	0.429	0.353
0.000	0.810	0.708
0.000	0.500	0.368
0.000	0.438	0.368
0.333	0.632	0.591
0.000	0.304	0.269
0.000	0.765	0.565
0.000	0.647	0.550
0.000	0.381	0.333
0.000	0.526	0.455
0.000	0.444	0.364
0.000	0.833	0.714
0.000	0.444	0.381
0.000	0.733	0.524
0.000	0.467	0.350
0.000	0.611	0.524
0.000	0.706	0.545
0.000	0.333	0.263
0.000	0.600	0.500
0.000	0.632	0.522
0.000	0.714	0.556
0.000	0.417	0.294
0.000	0.579	0.500
0.000	0.700	0.636
0.000	0.278	0.217
0.000	0.471	0.381
0.000	0.714	0.526
0.000	0.409	0.375
0.000	0.688	0.579
0.000	0.333	0.263
0.000	0.353	0.300
0.000	0.421	0.348
0.000	0.750	0.652
0.000	0.353	0.286
0.000	0.409	0.360
0.000	0.750	0.571
0.000	0.360	0.333
0.000	0.875	0.700
0.000	0.588	0.476
0.000	0.333	0.278
0.000	0.316	0.273
0.000	0.350	0.292
0.000	0.778	0.636
0.000	0.353	0.316
0.000	0.524	0.440
0.000	0.400	0.364
0.000	0.500	0.368
0.000	0.600	0.500
0.000	0.600	0.480
0.000	0.400	0.316
0.000	0.286	0.261
0.000	0.550	0.458
0.000	0.773	0.654
0.000	0.474	0.409
0.000	0.500	0.400
0.000	0.438	0.368
0.000	0.684	0.619
0.000	0.429	0.353
0.000	0.733	0.550
0.000	0.353	0.286
0.000	0.625	0.476
0.000	0.632	0.500
0.000	0.556	0.455
0.000	0.333	0.250
0.000	0.579	0.458
0.000	0.643	0.500
0.000	0.368	0.292
0.000	0.571	0.500
0.000	0.632	0.522
0.000	0.579	0.478
0.000	0.789	0.682
0.000	0.692	0.474
0.000	0.750	0.571
0.000	0.591	0.542
0.000	0.500	0.429
0.000	0.500	0.400
0.000	0.550	0.458
0.000	0.938	0.714
0.000	0.615	0.444
0.000	0.267	0.200
0.000	0.619	0.542
0.000	0.647	0.524
0.000	0.471	0.400
0.000	0.563	0.450
0.000	0.476	0.435
0.000	0.563	0.429
0.000	0.923	0.600
0.000	0.625	0.500
0.000	0.579	0.500
0.000	0.769	0.556
0.000	0.300	0.273
0.000	0.619	0.542
0.000	0.563	0.450
0.000	0.375	0.333
