Ancient	Recent	All
0.000	0.520	0.448
0.200	0.552	0.500
0.500	0.885	0.833
0.250	0.719	0.667
0.000	0.400	0.343
0.143	0.500	0.419
0.000	0.759	0.667
0.000	0.929	0.813
0.000	0.654	0.531
0.000	0.067	0.059
0.500	0.733	0.706
0.000	0.591	0.500
0.000	0.742	0.605
0.000	0.676	0.605
0.000	0.458	0.393
0.000	0.640	0.552
0.000	0.480	0.400
0.000	0.923	0.800
0.000	0.519	0.452
0.000	0.704	0.559
0.167	0.571	0.500
0.000	0.769	0.667
0.000	0.720	0.581
0.000	0.552	0.471
0.400	0.714	0.654
0.000	0.767	0.657
0.000	0.778	0.656
0.000	0.677	0.568
0.000	0.593	0.516
0.000	0.857	0.774
0.000	0.679	0.559
0.000	0.640	0.533
0.333	0.767	0.694
0.000	0.565	0.500
0.250	0.741	0.677
0.000	0.536	0.455
0.000	0.633	0.559
0.000	0.577	0.484
0.000	0.800	0.690
0.000	0.704	0.594
0.000	0.550	0.458
0.167	0.758	0.667
0.000	0.563	0.514
0.000	0.786	0.667
0.000	0.708	0.586
0.000	0.444	0.387
0.000	0.433	0.382
0.000	0.462	0.387
0.000	0.800	0.686
0.000	0.667	0.606
0.200	0.741	0.656
0.333	0.677	0.647
0.167	0.571	0.500
0.000	0.615	0.516
0.000	0.708	0.567
0.000	0.536	0.455
0.000	0.560	0.500
0.000	0.643	0.545
0.600	0.759	0.735
0.000	0.519	0.452
0.000	0.767	0.657
0.000	0.846	0.733
0.333	0.654	0.621
0.000	0.793	0.697
0.000	0.615	0.500
0.000	0.593	0.500
0.000	0.593	0.485
0.000	0.571	0.444
0.200	0.652	0.571
0.333	0.654	0.594
0.000	0.586	0.486
0.000	0.778	0.656
0.000	0.591	0.464
0.000	0.560	0.483
0.000	0.731	0.613
0.000	0.846	0.710
0.000	0.750	0.643
0.000	0.731	0.576
0.500	0.833	0.767
0.333	0.724	0.688
0.000	0.690	0.606
0.000	0.633	0.543
0.000	0.500	0.419
0.000	0.852	0.697
0.000	0.615	0.500
0.000	0.480	0.387
0.000	0.714	0.625
0.000	0.808	0.677
0.000	0.645	0.571
0.400	0.800	0.733
0.000	0.556	0.500
0.000	0.759	0.629
0.000	0.760	0.576
0.000	0.600	0.514
0.000	0.560	0.483
0.000	0.714	0.588
0.000	0.615	0.552
0.500	0.696	0.667
0.200	0.793	0.706
0.000	0.552	0.500
