Ancient	Recent	All
0.800	0.909	0.889
0.286	0.917	0.774
0.167	0.818	0.679
0.500	0.905	0.815
0.833	0.955	0.929
0.400	0.818	0.741
0.857	0.957	0.933
0.200	0.636	0.556
0.500	0.810	0.760
0.500	0.895	0.826
0.000	0.524	0.407
0.400	0.773	0.704
0.200	0.810	0.692
0.667	1.000	0.931
0.200	0.864	0.741
0.250	0.857	0.760
0.167	0.800	0.654
0.800	0.850	0.840
0.333	0.762	0.708
0.667	0.857	0.815
0.333	0.739	0.655
0.250	0.750	0.679
0.167	0.636	0.536
0.400	0.826	0.750
0.833	0.957	0.931
0.500	1.000	0.871
0.200	1.000	0.846
0.625	0.920	0.848
0.286	0.917	0.774
0.333	1.000	0.862
0.000	0.720	0.581
0.500	0.727	0.679
0.000	0.957	0.786
0.167	0.857	0.704
0.400	1.000	0.893
0.200	0.789	0.667
0.167	0.955	0.786
0.143	0.696	0.567
0.333	0.680	0.613
0.400	0.625	0.586
0.833	0.875	0.867
0.200	0.739	0.643
0.429	0.826	0.733
0.500	0.682	0.654
0.200	0.889	0.739
1.000	1.000	1.000
0.400	0.955	0.852
0.400	0.762	0.692
0.167	0.708	0.600
0.333	0.818	0.714
0.000	0.857	0.720
0.167	0.818	0.679
0.714	1.000	0.931
0.200	0.826	0.714
0.000	0.391	0.321
0.800	0.952	0.923
0.000	0.652	0.536
0.600	0.905	0.846
0.200	0.842	0.708
0.167	0.680	0.581
0.333	1.000	0.867
0.250	1.000	0.875
0.000	0.545	0.429
0.167	0.818	0.679
0.667	0.913	0.862
0.200	0.913	0.786
0.200	0.810	0.692
0.750	0.850	0.833
0.167	0.739	0.621
0.250	0.870	0.778
0.500	0.727	0.692
0.200	0.909	0.778
0.667	1.000	0.931
0.250	0.696	0.630
0.571	0.864	0.793
0.667	0.818	0.786
0.000	0.773	0.630
0.167	0.739	0.621
0.500	0.737	0.680
0.000	0.609	0.538
0.200	0.833	0.724
0.250	0.714	0.640
0.167	0.870	0.724
0.250	0.920	0.758
1.000	1.000	1.000
0.333	0.870	0.759
0.000	0.727	0.571
0.333	0.913	0.793
0.400	0.773	0.704
0.571	0.826	0.767
0.000	0.696	0.552
0.833	0.870	0.862
0.333	0.818	0.714
0.000	0.522	0.414
0.833	0.917	0.900
0.333	0.792	0.700
0.000	0.850	0.739
0.400	0.850	0.760
0.167	0.652	0.552
0.000	0.556	0.476
