Ancient	Recent	All
0.000	0.889	0.615
0.000	0.667	0.222
0.000	0.636	0.438
0.200	0.750	0.538
0.400	0.857	0.667
0.000	0.500	0.333
0.167	1.000	0.545
0.000	0.500	0.357
0.000	0.545	0.429
0.000	0.615	0.500
0.000	0.375	0.231
0.000	0.727	0.533
0.000	0.462	0.353
0.400	0.750	0.615
0.000	0.727	0.533
0.000	0.636	0.500
0.000	0.600	0.400
0.000	0.800	0.571
0.000	0.643	0.563
0.000	0.750	0.462
0.000	0.571	0.333
0.000	0.545	0.429
0.000	0.500	0.308
0.000	0.750	0.500
0.200	0.714	0.500
0.000	1.000	0.222
0.000	0.818	0.600
0.000	0.800	0.333
0.000	1.000	0.500
0.000	1.000	0.500
0.000	0.333	0.182
0.200	0.333	0.273
0.000	0.625	0.417
0.000	0.556	0.357
0.250	0.500	0.417
0.000	0.636	0.467
0.000	0.571	0.333
0.000	0.429	0.231
0.000	0.000	0.000
0.000	0.375	0.250
0.200	0.667	0.455
0.000	0.167	0.125
0.000	1.000	0.400
0.000	0.400	0.308
0.000	0.857	0.667
0.500	1.000	0.750
0.000	0.800	0.571
0.000	0.667	0.462
0.000	0.250	0.154
0.000	0.778	0.500
0.000	0.636	0.500
0.000	0.500	0.308
0.333	1.000	0.714
0.000	0.500	0.333
0.000	0.400	0.286
0.500	0.750	0.688
0.000	0.444	0.308
0.000	0.545	0.400
0.000	0.750	0.563
0.000	0.250	0.154
0.200	0.875	0.615
0.000	0.667	0.533
0.000	0.556	0.357
0.000	0.444	0.286
0.000	0.400	0.200
0.000	0.667	0.462
0.000	0.909	0.667
0.333	0.417	0.400
0.000	0.500	0.308
0.000	0.364	0.286
0.333	0.545	0.500
0.000	0.667	0.462
0.200	1.000	0.750
0.000	0.400	0.308
0.000	0.600	0.273
0.200	0.429	0.333
0.000	0.333	0.231
0.000	0.500	0.308
0.000	0.667	0.429
0.000	0.462	0.400
0.000	0.400	0.286
0.000	0.308	0.250
0.000	0.750	0.462
0.000	0.800	0.333
0.250	1.000	0.750
0.000	0.333	0.182
0.000	0.625	0.385
0.000	0.714	0.417
0.000	0.600	0.429
0.167	0.833	0.500
0.000	0.500	0.273
0.200	0.857	0.583
0.000	0.667	0.364
0.000	0.571	0.333
0.200	0.714	0.500
0.000	0.200	0.100
0.000	0.667	0.588
0.000	0.727	0.533
0.000	0.333	0.182
0.000	0.444	0.400
