Ancient	Recent	All
0.000	0.333	0.231
0.000	0.333	0.111
0.000	0.364	0.250
0.000	0.125	0.077
0.000	0.143	0.083
0.000	0.375	0.250
0.000	0.200	0.091
0.000	0.000	0.000
0.000	0.273	0.214
0.000	0.231	0.188
0.000	0.375	0.231
0.000	0.182	0.133
0.000	0.308	0.235
0.000	0.375	0.231
0.000	0.182	0.133
0.000	0.273	0.214
0.000	0.500	0.333
0.000	0.400	0.286
0.000	0.357	0.313
0.000	0.500	0.308
0.000	0.429	0.250
0.000	0.182	0.143
0.000	0.500	0.308
0.000	0.250	0.167
0.000	0.143	0.083
0.000	0.500	0.111
0.000	0.364	0.267
0.000	0.800	0.333
0.000	0.667	0.333
0.000	0.200	0.100
0.000	0.333	0.182
0.000	0.500	0.273
0.000	0.000	0.000
0.000	0.444	0.286
0.000	0.250	0.167
0.000	0.182	0.133
0.000	0.571	0.333
0.000	0.571	0.308
0.000	0.200	0.100
0.000	0.000	0.000
0.000	0.167	0.091
0.000	0.250	0.188
0.000	0.500	0.200
0.000	0.300	0.231
0.000	0.214	0.167
0.000	0.333	0.167
0.000	0.300	0.214
0.000	0.444	0.308
0.000	0.000	0.000
0.000	0.778	0.500
0.000	0.455	0.357
0.000	0.250	0.154
0.000	0.500	0.286
0.000	0.125	0.083
0.000	0.200	0.143
0.000	0.333	0.250
0.000	0.111	0.077
0.000	0.455	0.333
0.000	0.333	0.250
0.000	0.250	0.154
0.000	0.250	0.154
0.000	0.250	0.200
0.000	0.333	0.214
0.000	0.111	0.071
0.000	0.200	0.100
0.000	0.111	0.077
0.000	0.273	0.200
0.000	0.250	0.200
0.000	0.250	0.154
0.000	0.000	0.000
0.000	0.182	0.143
0.000	0.444	0.308
0.000	0.273	0.188
0.000	0.300	0.231
0.000	0.600	0.273
0.000	0.143	0.083
0.000	0.222	0.154
0.000	0.375	0.231
0.000	0.333	0.214
0.000	0.385	0.333
0.000	0.400	0.286
0.000	0.462	0.375
0.000	0.125	0.077
0.000	0.600	0.250
0.000	0.250	0.167
0.000	0.333	0.182
0.000	0.125	0.077
0.000	0.429	0.250
0.000	0.200	0.143
0.000	0.667	0.333
0.000	0.333	0.182
0.000	0.429	0.250
0.000	0.333	0.182
0.000	0.429	0.250
0.000	0.143	0.083
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.364	0.267
0.000	0.833	0.455
0.000	0.167	0.150
