0.33	0.00
0.25	0.03
0.41	0.12
0.35	0.03
0.29	0.02
0.30	0.00
0.29	0.10
0.35	0.00
0.35	0.03
0.35	0.00
0.39	0.15
0.37	0.00
0.44	0.19
0.32	0.02
0.37	0.05
0.38	0.05
0.38	0.10
0.35	0.00
0.40	0.05
0.35	0.10
0.30	0.00
0.40	0.18
0.35	0.13
0.35	0.08
0.29	0.00
0.25	0.00
0.38	0.03
0.26	0.02
0.37	0.20
0.25	0.00
0.33	0.02
0.33	0.03
0.28	0.05
0.29	0.00
0.27	0.00
0.43	0.18
0.29	0.00
0.37	0.07
0.29	0.15
0.33	0.00
0.26	0.00
0.39	0.00
0.28	0.05
0.28	0.00
0.45	0.08
0.29	0.02
0.38	0.13
0.40	0.03
0.36	0.14
0.38	0.18
0.35	0.03
0.29	0.00
0.35	0.02
0.30	0.05
0.50	0.40
0.36	0.02
0.34	0.00
0.38	0.05
0.40	0.05
0.40	0.23
0.33	0.02
0.35	0.00
0.45	0.25
0.37	0.20
0.28	0.08
0.38	0.13
0.40	0.03
0.35	0.00
0.33	0.10
0.29	0.00
0.40	0.03
0.35	0.10
0.40	0.09
0.35	0.00
0.25	0.00
0.30	0.13
0.40	0.13
0.37	0.02
0.35	0.10
0.45	0.13
0.31	0.02
0.43	0.05
0.33	0.12
0.27	0.00
0.30	0.00
0.27	0.02
0.40	0.07
0.33	0.13
0.40	0.12
0.30	0.05
0.35	0.13
0.29	0.02
0.33	0.00
0.38	0.17
0.27	0.02
0.28	0.00
0.44	0.10
0.37	0.00
0.30	0.00
0.54	0.22
