Ancient	Recent	All
0.000	0.280	0.226
0.000	0.200	0.161
0.000	0.323	0.244
0.000	0.333	0.268
0.000	0.129	0.098
0.000	0.367	0.297
0.000	0.250	0.194
0.000	0.296	0.242
0.000	0.296	0.235
0.000	0.160	0.125
0.000	0.364	0.250
0.000	0.375	0.281
0.000	0.464	0.371
0.000	0.107	0.094
0.000	0.111	0.088
0.000	0.125	0.097
0.000	0.192	0.156
0.000	0.231	0.171
0.000	0.192	0.156
0.000	0.174	0.133
0.000	0.200	0.156
0.000	0.308	0.242
0.000	0.150	0.097
0.000	0.250	0.188
0.000	0.217	0.167
0.000	0.370	0.278
0.000	0.333	0.258
0.000	0.417	0.303
0.000	0.324	0.261
0.000	0.292	0.219
0.000	0.185	0.147
0.000	0.484	0.417
0.000	0.233	0.194
0.000	0.333	0.265
0.000	0.400	0.258
0.000	0.154	0.118
0.000	0.321	0.273
0.000	0.333	0.243
0.000	0.346	0.265
0.000	0.333	0.250
0.000	0.111	0.094
0.000	0.226	0.200
0.000	0.286	0.229
0.000	0.130	0.097
0.000	0.269	0.206
0.000	0.261	0.200
0.000	0.296	0.250
0.000	0.310	0.243
0.000	0.357	0.294
0.000	0.333	0.273
0.000	0.231	0.182
0.000	0.111	0.088
0.000	0.355	0.324
0.000	0.333	0.278
0.000	0.429	0.290
0.000	0.429	0.321
0.000	0.160	0.125
0.000	0.310	0.243
0.000	0.429	0.290
0.000	0.261	0.188
0.000	0.250	0.212
0.000	0.276	0.216
0.000	0.303	0.233
0.000	0.304	0.219
0.000	0.440	0.314
0.000	0.333	0.250
0.000	0.200	0.154
0.000	0.200	0.147
0.000	0.375	0.265
0.000	0.267	0.205
0.000	0.152	0.125
0.000	0.038	0.030
0.000	0.500	0.394
0.000	0.130	0.097
0.000	0.393	0.333
0.000	0.217	0.152
0.000	0.393	0.324
0.000	0.385	0.286
0.000	0.320	0.235
0.000	0.290	0.250
0.000	0.286	0.188
0.000	0.360	0.281
0.000	0.433	0.351
0.000	0.333	0.257
0.000	0.259	0.226
0.000	0.161	0.125
0.000	0.367	0.314
0.000	0.333	0.233
0.000	0.179	0.147
0.000	0.318	0.212
0.000	0.391	0.257
0.000	0.240	0.194
0.000	0.308	0.242
0.000	0.387	0.324
0.000	0.520	0.406
0.000	0.429	0.310
0.000	0.306	0.244
0.000	0.115	0.091
0.000	0.250	0.182
0.000	0.207	0.176
