family51	70	1000000	4	100	3.520551	0.040056	3.118422	3.898117	3.516156	5077.296875	5129.892090	0.999959
family52	74	1000000	4	100	3.556875	0.041292	3.164824	3.958408	3.551256	4337.110352	4653.736816	1.000012
family53	70	1000000	4	100	3.225478	0.036434	2.849880	3.592587	3.221438	4720.181152	5187.242188	1.000087
family54	76	1000000	4	100	3.837186	0.042937	3.429963	4.237058	3.833937	5098.854492	5237.677734	0.999967
family55	73	1000000	4	100	3.980387	0.047395	3.552915	4.400829	3.975417	4495.437012	4536.064453	0.999964
family56	72	1000000	4	100	3.584760	0.041333	3.196875	3.985953	3.578410	4760.365234	5044.927734	1.000013
family57	72	1000000	4	100	3.518590	0.039821	3.145068	3.917398	3.512872	4507.220703	4817.029297	0.999957
family58	77	1000000	4	100	3.499856	0.039125	3.130362	3.899007	3.494534	4507.070801	4622.993164	0.999988
family59	71	1000000	4	100	3.417111	0.038321	3.037304	3.805434	3.412329	4927.305664	5036.355469	1.000040
family60	72	1000000	4	100	3.991798	0.047033	3.573568	4.421241	3.986948	4548.151367	4720.278320	0.999938
family61	70	1000000	4	100	3.529007	0.039139	3.136285	3.911068	3.525091	4300.398438	4715.089355	0.999988
family62	78	1000000	4	100	3.742585	0.042997	3.339147	4.149121	3.739519	4388.466309	4470.179199	1.000533
family63	97	1000000	4	100	4.594342	0.051781	4.143957	5.035341	4.591206	3869.664795	4214.590332	0.999941
family64	74	1000000	4	100	3.745593	0.043174	3.349649	4.154291	3.741560	4590.614258	4679.774902	1.000032
family65	75	1000000	4	100	3.637064	0.041526	3.247124	4.045295	3.635350	4820.798340	4967.098145	0.999938
family66	75	1000000	4	100	3.512545	0.039580	3.128670	3.903651	3.510028	3908.090088	4622.688965	0.999987
family67	86	1000000	4	100	4.029795	0.045995	3.600745	4.436160	4.028316	4636.483887	4696.150391	1.000072
family68	76	1000000	4	100	3.820624	0.043030	3.417538	4.229693	3.816153	4162.404785	4206.631348	1.000038
family69	74	1000000	4	100	3.936836	0.045698	3.529231	4.357749	3.931695	4367.867188	4530.351074	0.999979
family70	74	1000000	4	100	3.992194	0.045817	3.578087	4.411534	3.987038	4361.651367	4576.487793	1.000148
family71	81	1000000	4	100	4.206136	0.048481	3.787711	4.647776	4.200000	4845.166504	4861.054199	0.999966
family72	71	1000000	4	100	3.366089	0.037701	3.005368	3.764240	3.362752	2886.955566	3675.273926	0.999979
family73	70	1000000	4	100	4.254321	0.049686	3.820311	4.696176	4.253168	4958.766113	5054.566895	0.999947
family74	74	1000000	4	100	3.576697	0.039932	3.202698	3.980193	3.574198	4053.163574	4349.931152	1.000051
family75	70	1000000	4	100	3.715675	0.041937	3.318505	4.112296	3.711358	4708.633301	4876.307617	1.000038
family76	77	1000000	4	100	3.388466	0.037622	3.014902	3.769750	3.385087	4736.608398	5061.544922	1.000118
family77	71	1000000	4	100	3.223968	0.036190	2.861166	3.605878	3.218720	4378.216309	4640.803711	1.000014
family78	76	1000000	4	100	4.075785	0.046533	3.646297	4.489208	4.072501	4698.926270	4915.786621	0.999965
family79	79	1000000	4	100	3.863300	0.043298	3.472287	4.284602	3.858435	4542.772461	4626.498047	0.999947
family80	73	1000000	4	100	3.004031	0.033847	2.643769	3.364065	2.999883	4676.148926	4988.948242	1.000084
family81	80	1000000	4	100	4.625796	0.054195	4.190604	5.095150	4.618889	4002.215576	4461.559570	0.999935
family82	72	1000000	4	100	3.949759	0.046263	3.527507	4.359087	3.948339	4339.949707	4418.005371	0.999959
family83	79	1000000	4	100	3.949466	0.045149	3.540438	4.365555	3.943716	4758.487793	4820.515625	1.000055
family84	71	1000000	4	100	3.646659	0.040994	3.245201	4.042224	3.644538	4309.624512	4620.895020	0.999980
family85	70	1000000	4	100	3.278514	0.036634	2.913071	3.662583	3.272818	4757.227539	5135.081543	1.000185
family86	77	1000000	4	100	4.173502	0.048464	3.750329	4.600354	4.169324	4334.938965	4733.406250	1.000210
family87	72	1000000	4	100	4.097485	0.048287	3.668687	4.524330	4.091348	4547.585449	4793.254883	0.999934
family88	78	1000000	4	100	3.768599	0.043203	3.363842	4.182541	3.766069	3856.691650	4520.356934	1.000078
family89	73	1000000	4	100	3.793404	0.042800	3.396563	4.197103	3.790181	4365.269043	4823.507324	1.000137
family90	73	1000000	4	100	3.807817	0.043518	3.403484	4.217140	3.803584	4478.057617	4625.248535	0.999965
family91	82	1000000	4	100	5.253505	0.062702	4.753491	5.731056	5.249123	4624.161621	4814.156250	0.999934
family92	70	1000000	4	100	3.575919	0.040903	3.171039	3.961144	3.571376	4287.070801	4710.152344	1.000147
family93	72	1000000	4	100	3.527616	0.039592	3.141674	3.926570	3.522074	4019.277344	4080.443359	0.999970
family94	70	1000000	4	100	3.981306	0.045242	3.546344	4.380670	3.977184	4775.217285	4873.117188	1.000012
family95	72	1000000	4	100	3.528406	0.039771	3.144305	3.924618	3.522841	4659.036133	4899.328125	1.000001
family96	71	1000000	4	100	3.793061	0.043063	3.384023	4.194981	3.789560	4873.869629	4917.192383	1.000563
family97	84	1000000	4	100	4.011004	0.044917	3.609411	4.423549	4.004146	4903.158203	5042.494629	0.999936
family98	79	1000000	4	100	4.279997	0.050329	3.837174	4.716343	4.274021	4747.497070	4752.823730	0.999950
family99	77	1000000	4	100	3.817511	0.045091	3.389167	4.214752	3.814478	3670.645264	4276.735352	1.000166
family100	70	1000000	4	100	3.371345	0.037869	2.986714	3.755212	3.367710	4656.551758	4963.750977	1.000007
