0.69	0.97
0.61	0.69
0.61	0.66
0.60	0.60
0.68	0.82
0.65	0.62
0.61	0.89
0.61	0.73
0.65	0.73
0.67	0.94
0.73	0.96
0.62	0.72
0.62	0.58
0.63	0.66
0.63	0.76
0.67	0.84
0.56	0.70
0.64	0.74
0.64	0.74
0.54	0.67
0.59	0.62
0.62	0.70
0.61	0.76
0.67	0.97
0.70	0.90
0.61	0.55
0.64	0.71
0.60	0.53
0.65	0.70
0.64	0.68
0.63	0.86
0.69	0.66
0.66	0.80
0.63	0.63
0.61	0.62
0.66	0.77
0.66	0.65
0.62	0.76
0.64	0.82
0.66	0.71
0.63	0.81
0.70	0.81
0.68	0.62
0.59	0.70
0.59	0.72
0.56	0.64
0.67	0.80
0.61	0.57
0.58	0.48
0.60	0.69
0.57	0.46
0.66	0.99
0.67	0.89
0.58	0.59
0.56	0.64
0.61	0.81
0.65	0.83
0.66	0.81
0.65	0.85
0.63	0.81
0.64	0.71
0.65	0.51
0.68	0.76
0.62	0.59
0.63	0.69
0.65	0.73
0.65	0.83
0.61	0.61
0.62	0.78
0.69	0.84
0.59	0.68
0.66	0.87
0.61	0.60
0.66	0.95
0.67	0.70
0.55	0.53
0.62	0.68
0.64	0.67
0.59	0.58
0.73	0.99
0.63	0.74
0.60	0.58
0.66	0.67
0.63	0.69
0.64	0.74
0.70	0.75
0.64	0.58
0.69	1.09
0.60	0.60
0.64	0.86
0.63	0.74
0.64	0.71
0.61	0.71
0.63	0.47
0.64	0.65
0.58	0.72
0.68	0.62
0.67	1.03
0.61	0.71
0.67	0.76
