0.43	0.09
0.44	0.14
0.47	0.14
0.52	0.25
0.52	0.14
0.56	0.09
0.44	0.08
0.47	0.07
0.48	0.23
0.47	0.09
0.51	0.14
0.43	0.01
0.47	0.11
0.51	0.17
0.48	0.13
0.50	0.16
0.46	0.13
0.52	0.16
0.49	0.13
0.43	0.10
0.45	0.07
0.51	0.17
0.45	0.15
0.43	0.08
0.50	0.11
0.52	0.19
0.46	0.03
0.49	0.08
0.52	0.10
0.53	0.13
0.47	0.16
0.54	0.06
0.46	0.01
0.50	0.16
0.45	0.01
0.54	0.26
0.58	0.31
0.46	0.04
0.50	0.15
0.48	0.06
0.50	0.20
0.46	0.01
0.49	0.07
0.42	0.13
0.48	0.01
0.49	0.11
0.49	0.17
0.53	0.09
0.49	0.15
0.49	0.16
0.50	0.16
0.51	0.30
0.56	0.27
0.50	0.14
0.44	0.11
0.40	0.07
0.43	0.01
0.52	0.16
0.46	0.06
0.51	0.18
0.46	0.03
0.50	0.14
0.49	0.18
0.46	0.07
0.53	0.17
0.52	0.19
0.49	0.07
0.43	0.07
0.53	0.26
0.53	0.08
0.52	0.17
0.45	0.17
0.47	0.11
0.47	0.26
0.51	0.13
0.45	0.06
0.46	0.10
0.49	0.01
0.48	0.15
0.53	0.22
0.45	0.03
0.44	0.00
0.48	0.14
0.55	0.27
0.50	0.16
0.53	0.03
0.50	0.06
0.42	0.09
0.48	0.05
0.45	0.08
0.44	0.02
0.51	0.17
0.49	0.04
0.50	0.14
0.51	0.17
0.46	0.13
0.58	0.17
0.42	0.04
0.52	0.26
0.53	0.14
