Ancient	Recent	All
0.000	0.306	0.256
0.000	0.294	0.244
0.000	0.439	0.346
0.000	0.333	0.267
0.000	0.333	0.237
0.000	0.351	0.289
0.000	0.343	0.279
0.000	0.484	0.395
0.000	0.323	0.256
0.000	0.281	0.225
0.091	0.233	0.195
0.000	0.294	0.233
0.250	0.469	0.425
0.000	0.359	0.318
0.125	0.250	0.229
0.000	0.313	0.250
0.000	0.485	0.400
0.200	0.344	0.310
0.000	0.303	0.250
0.000	0.405	0.333
0.000	0.324	0.267
0.000	0.364	0.293
0.000	0.294	0.217
0.000	0.297	0.239
0.000	0.226	0.179
0.100	0.649	0.532
0.000	0.419	0.333
0.100	0.394	0.326
0.000	0.441	0.341
0.000	0.344	0.268
0.000	0.321	0.250
0.000	0.296	0.242
0.000	0.276	0.222
0.000	0.250	0.194
0.167	0.469	0.386
0.111	0.457	0.386
0.167	0.361	0.333
0.000	0.379	0.275
0.000	0.310	0.237
0.000	0.250	0.190
0.000	0.235	0.200
0.000	0.342	0.302
0.000	0.375	0.300
0.111	0.368	0.319
0.111	0.364	0.310
0.125	0.515	0.439
0.000	0.212	0.179
0.111	0.469	0.390
0.143	0.382	0.341
0.000	0.467	0.378
0.125	0.484	0.410
0.000	0.394	0.317
0.250	0.441	0.421
0.286	0.455	0.425
0.182	0.441	0.378
0.250	0.333	0.318
0.000	0.375	0.300
0.000	0.333	0.262
0.091	0.467	0.366
0.100	0.379	0.308
0.000	0.300	0.250
0.111	0.382	0.326
0.091	0.304	0.263
0.000	0.531	0.405
0.000	0.500	0.378
0.000	0.324	0.256
0.000	0.436	0.347
0.000	0.371	0.289
0.000	0.364	0.273
0.000	0.360	0.257
0.000	0.429	0.349
0.125	0.273	0.244
0.000	0.448	0.351
0.111	0.176	0.163
0.000	0.344	0.289
0.091	0.515	0.409
0.143	0.367	0.324
0.100	0.355	0.293
0.000	0.457	0.356
0.000	0.233	0.194
0.083	0.389	0.313
0.125	0.531	0.450
0.125	0.389	0.341
0.000	0.379	0.289
0.000	0.343	0.300
0.000	0.400	0.300
0.000	0.313	0.263
0.000	0.205	0.163
0.000	0.419	0.342
0.000	0.344	0.250
0.077	0.389	0.306
0.143	0.375	0.333
0.000	0.258	0.205
0.000	0.607	0.486
0.125	0.514	0.442
0.000	0.471	0.372
0.000	0.323	0.244
0.125	0.300	0.271
0.100	0.441	0.364
0.000	0.323	0.270
